model,bin_left,bin_right,count
xgb_coarse_full_greedy,418.8087515315543,558.4116687087391,2
xgb_coarse_full_greedy,558.4116687087391,698.0145858859238,19
xgb_coarse_full_greedy,698.0145858859238,837.6175030631086,1
xgb_coarse_full_greedy,837.6175030631086,977.2204202402934,1
xgb_coarse_full_greedy,977.2204202402934,1116.8233374174781,0
xgb_coarse_full_greedy,1116.8233374174781,1256.4262545946629,1
xgb_coarse_full_greedy,1256.4262545946629,1396.0291717718476,0
xgb_coarse_full_greedy,1396.0291717718476,1535.6320889490323,0
xgb_coarse_full_greedy,1535.6320889490323,1675.2350061262173,0
xgb_coarse_full_greedy,1675.2350061262173,1814.837923303402,0
xgb_coarse_full_greedy,1814.837923303402,1954.4408404805868,0
xgb_coarse_full_greedy,1954.4408404805868,2094.0437576577715,0
xgb_coarse_full_greedy,2094.0437576577715,2233.6466748349562,0
xgb_coarse_full_greedy,2233.6466748349562,2373.249592012141,0
xgb_coarse_full_greedy,2373.249592012141,2512.8525091893257,0
xgb_coarse_full_greedy,2512.8525091893257,2652.4554263665104,0
xgb_coarse_full_greedy,2652.4554263665104,2792.058343543695,0
xgb_coarse_full_greedy,2792.058343543695,2931.66126072088,0
xgb_coarse_full_greedy,2931.66126072088,3071.2641778980646,0
xgb_coarse_full_greedy,3071.2641778980646,3210.8670950752494,0
xgb_coarse_full_greedy,3210.8670950752494,3350.4700122524346,0
xgb_coarse_full_greedy,3350.4700122524346,3490.0729294296193,0
xgb_coarse_full_greedy,3490.0729294296193,3629.675846606804,0
xgb_coarse_full_greedy,3629.675846606804,3769.278763783989,0
xgb_coarse_full_greedy,3769.278763783989,3908.8816809611735,0
xgb_coarse_full_greedy,3908.8816809611735,4048.4845981383583,0
xgb_coarse_full_greedy,4048.4845981383583,4188.087515315543,0
xgb_coarse_full_greedy,4188.087515315543,4327.690432492727,0
xgb_coarse_full_greedy,4327.690432492727,4467.2933496699125,0
xgb_coarse_full_greedy,4467.2933496699125,4606.896266847098,0
xgb_coarse_full_greedy,4606.896266847098,4746.499184024282,0
xgb_coarse_full_greedy,4746.499184024282,4886.102101201467,0
xgb_coarse_full_greedy,4886.102101201467,5025.705018378651,0
xgb_coarse_full_greedy,5025.705018378651,5165.307935555837,0
xgb_coarse_full_greedy,5165.307935555837,5304.910852733021,0
xgb_coarse_full_greedy,5304.910852733021,5444.513769910206,0
xgb_coarse_full_greedy,5444.513769910206,5584.11668708739,0
xgb_coarse_full_greedy,5584.11668708739,5723.7196042645755,0
xgb_coarse_full_greedy,5723.7196042645755,5863.32252144176,2
xgb_coarse_full_greedy,5863.32252144176,6002.925438618945,0
xgb_coarse_full_greedy,6002.925438618945,6142.528355796129,0
xgb_coarse_full_greedy,6142.528355796129,6282.1312729733145,1
xgb_coarse_full_greedy,6282.1312729733145,6421.734190150499,0
xgb_coarse_full_greedy,6421.734190150499,6561.337107327684,0
xgb_coarse_full_greedy,6561.337107327684,6700.940024504869,0
xgb_coarse_full_greedy,6700.940024504869,6840.542941682053,0
xgb_coarse_full_greedy,6840.542941682053,6980.145858859239,2
xgb_coarse_full_cisc,0.0,139.60291717718476,24
xgb_coarse_full_cisc,139.60291717718476,279.20583435436953,0
xgb_coarse_full_cisc,279.20583435436953,418.8087515315543,0
xgb_coarse_full_cisc,418.8087515315543,558.4116687087391,2
xgb_coarse_full_cisc,558.4116687087391,698.0145858859238,16
xgb_coarse_full_cisc,698.0145858859238,837.6175030631086,1
xgb_coarse_full_cisc,837.6175030631086,977.2204202402934,1
xgb_coarse_full_cisc,977.2204202402934,1116.8233374174781,0
xgb_coarse_full_cisc,1116.8233374174781,1256.4262545946629,1
xgb_coarse_full_cisc,1256.4262545946629,1396.0291717718476,0
xgb_coarse_full_cisc,1396.0291717718476,1535.6320889490323,0
xgb_coarse_full_cisc,1535.6320889490323,1675.2350061262173,0
xgb_coarse_full_cisc,1675.2350061262173,1814.837923303402,0
xgb_coarse_full_cisc,1814.837923303402,1954.4408404805868,0
xgb_coarse_full_cisc,1954.4408404805868,2094.0437576577715,0
xgb_coarse_full_cisc,2094.0437576577715,2233.6466748349562,0
xgb_coarse_full_cisc,2233.6466748349562,2373.249592012141,0
xgb_coarse_full_cisc,2373.249592012141,2512.8525091893257,0
xgb_coarse_full_cisc,2512.8525091893257,2652.4554263665104,0
xgb_coarse_full_cisc,2652.4554263665104,2792.058343543695,0
xgb_coarse_full_cisc,2792.058343543695,2931.66126072088,0
xgb_coarse_full_cisc,2931.66126072088,3071.2641778980646,0
xgb_coarse_full_cisc,3071.2641778980646,3210.8670950752494,0
xgb_coarse_full_cisc,3210.8670950752494,3350.4700122524346,0
xgb_coarse_full_cisc,3350.4700122524346,3490.0729294296193,0
xgb_coarse_full_cisc,3490.0729294296193,3629.675846606804,0
xgb_coarse_full_cisc,3629.675846606804,3769.278763783989,0
xgb_coarse_full_cisc,3769.278763783989,3908.8816809611735,0
xgb_coarse_full_cisc,3908.8816809611735,4048.4845981383583,0
xgb_coarse_full_cisc,4048.4845981383583,4188.087515315543,0
xgb_coarse_full_cisc,4188.087515315543,4327.690432492727,0
xgb_coarse_full_cisc,4327.690432492727,4467.2933496699125,0
xgb_coarse_full_cisc,4467.2933496699125,4606.896266847098,0
xgb_coarse_full_cisc,4606.896266847098,4746.499184024282,0
xgb_coarse_full_cisc,4746.499184024282,4886.102101201467,0
xgb_coarse_full_cisc,4886.102101201467,5025.705018378651,0
xgb_coarse_full_cisc,5025.705018378651,5165.307935555837,0
xgb_coarse_full_cisc,5165.307935555837,5304.910852733021,0
xgb_coarse_full_cisc,5304.910852733021,5444.513769910206,0
xgb_coarse_full_cisc,5444.513769910206,5584.11668708739,0
xgb_coarse_full_cisc,5584.11668708739,5723.7196042645755,0
xgb_coarse_full_cisc,5723.7196042645755,5863.32252144176,2
xgb_coarse_full_cisc,5863.32252144176,6002.925438618945,0
xgb_coarse_full_cisc,6002.925438618945,6142.528355796129,0
xgb_coarse_full_cisc,6142.528355796129,6282.1312729733145,1
xgb_coarse_full_cisc,6282.1312729733145,6421.734190150499,0
xgb_coarse_full_cisc,6421.734190150499,6561.337107327684,0
xgb_coarse_full_cisc,6561.337107327684,6700.940024504869,0
xgb_coarse_full_cisc,6700.940024504869,6840.542941682053,0
xgb_coarse_full_cisc,6840.542941682053,6980.145858859239,2
shortest_path,0.0,139.60291717718476,5
shortest_path,139.60291717718476,279.20583435436953,0
shortest_path,279.20583435436953,418.8087515315543,0
shortest_path,418.8087515315543,558.4116687087391,3
shortest_path,558.4116687087391,698.0145858859238,18
shortest_path,698.0145858859238,837.6175030631086,1
shortest_path,837.6175030631086,977.2204202402934,3
shortest_path,977.2204202402934,1116.8233374174781,0
shortest_path,1116.8233374174781,1256.4262545946629,6
shortest_path,1256.4262545946629,1396.0291717718476,1
shortest_path,1396.0291717718476,1535.6320889490323,0
shortest_path,1535.6320889490323,1675.2350061262173,2
shortest_path,1675.2350061262173,1814.837923303402,1
shortest_path,1814.837923303402,1954.4408404805868,2
shortest_path,1954.4408404805868,2094.0437576577715,0
shortest_path,2094.0437576577715,2233.6466748349562,0
shortest_path,2233.6466748349562,2373.249592012141,0
shortest_path,2373.249592012141,2512.8525091893257,0
shortest_path,2512.8525091893257,2652.4554263665104,0
shortest_path,2652.4554263665104,2792.058343543695,0
shortest_path,2792.058343543695,2931.66126072088,0
shortest_path,2931.66126072088,3071.2641778980646,0
shortest_path,3071.2641778980646,3210.8670950752494,0
shortest_path,3210.8670950752494,3350.4700122524346,0
shortest_path,3350.4700122524346,3490.0729294296193,0
shortest_path,3490.0729294296193,3629.675846606804,0
shortest_path,3629.675846606804,3769.278763783989,0
shortest_path,3769.278763783989,3908.8816809611735,0
shortest_path,3908.8816809611735,4048.4845981383583,0
shortest_path,4048.4845981383583,4188.087515315543,0
shortest_path,4188.087515315543,4327.690432492727,0
shortest_path,4327.690432492727,4467.2933496699125,0
shortest_path,4467.2933496699125,4606.896266847098,0
shortest_path,4606.896266847098,4746.499184024282,0
shortest_path,4746.499184024282,4886.102101201467,0
shortest_path,4886.102101201467,5025.705018378651,0
shortest_path,5025.705018378651,5165.307935555837,0
shortest_path,5165.307935555837,5304.910852733021,0
shortest_path,5304.910852733021,5444.513769910206,0
shortest_path,5444.513769910206,5584.11668708739,0
shortest_path,5584.11668708739,5723.7196042645755,0
shortest_path,5723.7196042645755,5863.32252144176,1
shortest_path,5863.32252144176,6002.925438618945,0
shortest_path,6002.925438618945,6142.528355796129,0
shortest_path,6142.528355796129,6282.1312729733145,1
shortest_path,6282.1312729733145,6421.734190150499,0
shortest_path,6421.734190150499,6561.337107327684,1
shortest_path,6561.337107327684,6700.940024504869,0
shortest_path,6700.940024504869,6840.542941682053,0
shortest_path,6840.542941682053,6980.145858859239,1
company_baseline,0.0,139.60291717718476,4
company_baseline,139.60291717718476,279.20583435436953,0
company_baseline,279.20583435436953,418.8087515315543,0
company_baseline,418.8087515315543,558.4116687087391,1
company_baseline,558.4116687087391,698.0145858859238,29
company_baseline,698.0145858859238,837.6175030631086,2
company_baseline,837.6175030631086,977.2204202402934,1
company_baseline,977.2204202402934,1116.8233374174781,1
company_baseline,1116.8233374174781,1256.4262545946629,2
company_baseline,1256.4262545946629,1396.0291717718476,2
company_baseline,1396.0291717718476,1535.6320889490323,0
company_baseline,1535.6320889490323,1675.2350061262173,0
company_baseline,1675.2350061262173,1814.837923303402,0
company_baseline,1814.837923303402,1954.4408404805868,0
company_baseline,1954.4408404805868,2094.0437576577715,0
company_baseline,2094.0437576577715,2233.6466748349562,0
company_baseline,2233.6466748349562,2373.249592012141,0
company_baseline,2373.249592012141,2512.8525091893257,0
company_baseline,2512.8525091893257,2652.4554263665104,0
company_baseline,2652.4554263665104,2792.058343543695,0
company_baseline,2792.058343543695,2931.66126072088,0
company_baseline,2931.66126072088,3071.2641778980646,0
company_baseline,3071.2641778980646,3210.8670950752494,0
company_baseline,3210.8670950752494,3350.4700122524346,0
company_baseline,3350.4700122524346,3490.0729294296193,0
company_baseline,3490.0729294296193,3629.675846606804,0
company_baseline,3629.675846606804,3769.278763783989,0
company_baseline,3769.278763783989,3908.8816809611735,0
company_baseline,3908.8816809611735,4048.4845981383583,0
company_baseline,4048.4845981383583,4188.087515315543,0
company_baseline,4188.087515315543,4327.690432492727,0
company_baseline,4327.690432492727,4467.2933496699125,0
company_baseline,4467.2933496699125,4606.896266847098,0
company_baseline,4606.896266847098,4746.499184024282,0
company_baseline,4746.499184024282,4886.102101201467,0
company_baseline,4886.102101201467,5025.705018378651,0
company_baseline,5025.705018378651,5165.307935555837,0
company_baseline,5165.307935555837,5304.910852733021,0
company_baseline,5304.910852733021,5444.513769910206,0
company_baseline,5444.513769910206,5584.11668708739,0
company_baseline,5584.11668708739,5723.7196042645755,0
company_baseline,5723.7196042645755,5863.32252144176,2
company_baseline,5863.32252144176,6002.925438618945,0
company_baseline,6002.925438618945,6142.528355796129,0
company_baseline,6142.528355796129,6282.1312729733145,0
company_baseline,6282.1312729733145,6421.734190150499,0
company_baseline,6421.734190150499,6561.337107327684,1
company_baseline,6561.337107327684,6700.940024504869,0
company_baseline,6700.940024504869,6840.542941682053,0
company_baseline,6840.542941682053,6980.145858859239,0
